0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:01 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:02 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:02 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:02 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:40:18 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
